Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
Fabricated metal products,...,...,...,...,...,...,1784,241,148,3376,362339,3546,547,258,1609,702,133,233,...,2,0,3,174,7,157,1425,4873,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,323,3286,...,...,...,...,...,...,...,...,...,...,...,...,120,...,...,...,...,...,1109,...,386396
Machinery,...,...,...,...,...,...,665,...,193,30,2935,390273,1089,1441,1230,348,5,364,7,83,...,8,...,1,156,262,9451,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,...,942,9762,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,189,...,419456
Computer and electronic products,...,...,...,...,...,...,56,2,25,30,196,701,317437,888,20,4532,14,1310,...,0,...,6,9,...,285,303,4211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1468,58244,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,389737
"Electrical equipment, appliances, and components",...,...,...,...,...,...,82,...,26,895,321,525,1002,127202,312,94,2,132,...,70,...,93,...,1,222,23,2171,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,300,2908,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,136380
"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,550,...,4,26,748,1552,44,68,762014,593,38,114,...,90,...,...,...,...,11,269,3223,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,324,16154,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1004,...,786826
Other transportation equipment,...,...,...,...,...,...,858,...,...,1,463,1615,1350,115,107,333291,...,...,...,27,...,...,...,...,13,35,1814,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,833,19736,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,84,...,360341
Furniture and related products,...,...,...,...,...,...,407,439,181,9,301,73,0,1,1,...,78424,284,...,177,0,18,12,...,18,163,1640,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60,333,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82541
Miscellaneous manufacturing,...,...,...,...,...,...,1539,47,62,75,317,168,536,65,48,302,244,147648,...,74,4,136,305,29,329,852,5270,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,545,14641,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,173237
Food and beverage and tobacco products,...,...,...,...,...,...,175,...,...,...,...,...,...,...,...,...,...,...,953182,1,5,121,...,...,3102,3,9141,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,151,3833,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,969717
Textile mills and textile product mills,...,...,...,...,...,...,44,...,...,2,101,22,...,...,22,1,224,124,...,44796,114,24,61,...,2903,68,669,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,367,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,49550
Apparel and leather and allied products,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,27,19155,...,...,...,...,...,514,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32,287,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,20016
Paper products,...,...,...,...,...,...,95,145,149,1,6,...,693,...,...,...,0,103,...,148,...,183700,288,...,171,709,1631,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,56,1057,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,369,...,189320
Printing and related support activities,...,...,...,...,...,...,17,...,...,...,103,...,60,...,...,...,...,577,...,716,28,1036,68790,...,...,508,936,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,189,17630,...,125,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,70,...,90785
Petroleum and coal products,...,...,21,206,...,...,277,...,227,...,...,0,...,4,...,...,...,...,...,0,...,2,...,565230,17811,1,5160,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50,213,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,589202
Chemical products,...,...,...,4,...,...,157,0,22,111,132,247,913,124,0,1,...,514,8163,25,...,184,1,1774,785664,3705,10500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,488,57404,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,870134
Plastics and rubber products,...,...,...,...,...,...,127,143,199,32,491,639,141,95,263,341,231,743,...,663,...,1661,204,17,858,235576,3172,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,190,3122,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75,...,248985
Wholesale trade,...,710,...,...,...,...,4421,...,...,...,11,564,154,...,370,12,31,1644,3663,...,...,...,...,...,...,...,1973979,...,...,...,...,...,...,...,...,...,915,1249,17,...,...,...,...,...,...,...,...,...,...,15384,...,19892,1043,...,27,...,...,...,...,...,...,...,...,...,...,67597,...,...,...,...,...,...,...,2091682
Motor vehicle and parts dealers,...,...,...,...,...,...,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,245926,...,...,...,...,...,...,33,...,...,500,350,...,...,...,...,5191,...,...,...,...,...,975,...,15,229,...,...,...,55,...,...,...,...,...,251,...,...,87842,...,...,...,...,...,...,...,341373
Food and beverage stores,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,9767,...,...,...,...,...,...,...,...,...,219296,...,...,...,...,...,...,...,...,...,...,...,...,...,...,440,...,...,...,...,...,330,...,3,120,...,227,...,...,...,...,...,...,...,69,...,22584,25,...,...,...,...,...,...,...,252864
General merchandise stores,...,...,...,...,...,...,1347,...,...,...,...,...,...,...,...,...,...,...,2820,...,...,...,...,...,...,...,...,...,...,226925,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,279,...,0,587,...,210,...,...,1559,...,...,...,...,...,...,10098,4314,...,...,...,...,...,...,...,248140
Other retail,190,...,...,...,...,...,6209,...,...,...,...,...,...,...,...,...,...,2302,63,...,259,...,29,...,...,...,...,...,...,...,1041788,...,...,...,...,...,...,3776,49,...,1156,59,...,269,...,...,...,...,...,4262,...,2090,6515,...,1954,...,209,562,...,...,...,...,303,...,20967,19098,...,...,...,...,...,...,...,1112110
Air transportation,...,990,...,...,...,...,33,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,...,...,...,...,249271,...,...,...,...,...,551,...,...,...,...,...,...,...,...,...,...,...,96,...,289,1791,...,...,...,...,63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,253104
Rail transportation,...,...,...,...,...,...,165,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82817,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,276,...,120,85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,83463
Water transportation,...,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51801,...,...,...,2599,...,...,...,...,...,...,...,...,...,...,...,...,...,17,14,...,...,...,...,...,...,...,...,...,286,...,...,...,...,...,...,...,...,...,...,54718
Truck transportation,...,...,...,...,...,...,33,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,377521,...,...,4228,4919,...,...,...,...,...,...,...,...,...,...,397,...,114,138,...,...,2312,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,389662
Transit and ground passenger transportation,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,35,...,...,...,13,...,...,...,...,106789,...,105,...,...,...,...,...,...,...,...,...,...,13,...,...,0,29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,106983
Pipeline transportation,...,...,...,...,...,171,123,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57466,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42,46,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57847
Other transportation and support activities,...,...,...,...,...,...,108,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95,...,9,...,0,271,...,1528,1930,475,...,254248,1609,...,...,...,...,...,...,103,...,...,...,91,...,474,450,...,108,...,...,...,...,...,...,...,...,...,52,1280,...,...,...,...,...,...,...,262830
Warehousing and storage,...,...,...,...,...,...,63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1933,...,...,423,141715,...,...,...,...,...,...,...,...,...,...,8,...,164,156,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,144463
"Publishing industries, except internet (includes software)",...,...,...,...,...,...,21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1391,...,...,...,13423,...,...,...,121,...,...,...,...,...,...,...,...,283372,...,...,12427,...,...,...,...,...,...,1,...,15165,61972,...,771,...,8662,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,397326
Motion picture and sound recording industries,...,...,...,...,...,...,75,...,...,...,...,...,10,...,...,...,...,...,...,...,...,...,...,...,...,...,13,...,...,...,770,...,...,...,...,...,...,...,...,...,159956,...,...,...,...,...,...,...,128,172,...,316,3686,...,...,...,...,...,...,...,...,...,72,...,...,...,...,...,...,...,...,...,...,165198
Broadcasting and telecommunications,...,...,...,...,...,...,1153,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4933,...,...,...,976,...,...,...,...,...,...,...,...,...,905,759414,...,...,...,...,...,...,...,10857,...,2128,124158,...,...,...,...,...,...,...,...,...,...,...,...,2692,...,...,...,...,...,...,...,907213
"Data processing, internet publishing, and other information services",...,...,...,...,...,...,787,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,646,...,...,...,963,...,...,...,...,...,...,...,...,16611,...,289,276230,...,...,...,...,...,...,368,...,25299,148394,...,748,...,1128,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,471463
"Federal Reserve banks, credit intermediation, and related activities",...,...,...,...,...,...,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,897959,34763,...,...,...,...,95956,...,3300,2330,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1034312
"Securities, commodity contracts, and investments",...,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,30156,636277,8498,...,...,...,...,...,1263,1091,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,677286
Insurance carriers and related activities,...,...,...,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,988,1270567,...,...,...,...,487,2714,3298,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1278059
"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,167369,...,...,...,...,6,162,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,167537
Housing,...,...,...,...,...,...,18678,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2320347,...,...,...,84,24,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2339134
Other real estate,...,...,...,...,...,...,793,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,150,...,...,1407634,...,...,266,221,...,...,...,...,...,...,...,...,...,...,19,...,58,...,...,...,...,...,...,...,1409142
Rental and leasing services and lessors of intangible assets,...,...,...,...,...,...,75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,407,76,255,...,1058,...,...,...,977,44,...,...,...,...,...,...,...,...,9,1085,...,...,3113,377981,...,213,91,...,...,...,3,...,...,...,...,...,...,...,...,2292,...,...,...,...,...,...,...,387680
Legal services,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,376752,417,200,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,377371
Computer systems design and related services,...,...,...,...,...,...,8,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3910,...,...,...,481,...,...,...,...,...,...,...,...,3094,...,206,15345,...,...,...,...,...,...,405,...,444730,13554,...,5216,...,2090,...,...,...,...,...,...,...,...,2241,...,...,...,...,...,...,...,491281
"Miscellaneous professional, scientific, and technical services",...,...,...,...,...,...,614,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,612,...,...,...,...,...,...,575,5780,...,...,...,...,...,...,...,...,...,...,...,3148,...,706,...,...,...,...,13,...,12581,1542838,...,3114,...,...,...,...,...,...,...,...,...,...,2658,...,...,...,...,...,...,...,1572637
Management of companies and enterprises,...,...,...,...,...,...,82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14179,5672,650795,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,670728
Administrative and support services,...,...,...,...,...,...,1340,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2843,...,...,...,...,...,...,...,799,...,...,...,...,...,...,...,...,...,...,...,...,...,...,71,...,...,321,59,...,10882,14310,...,1020021,186,200,16,...,...,60,...,...,...,...,...,...,...,...,...,...,...,...,1051108
Waste management and remediation services,...,...,108,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,167,...,...,...,...,...,...,18,...,...,...,...,...,...,...,...,...,...,...,525,...,40,94,...,...,111940,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,798,...,113691
Educational services,...,...,...,...,...,...,686,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1555,...,...,...,...,...,...,...,...,...,...,...,...,...,...,106,...,...,78,89,...,4647,31508,...,...,...,303868,...,...,...,...,1727,...,28344,10856,17,...,...,...,...,...,...,...,383481
Ambulatory health care services,...,...,...,...,...,...,490,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11240,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3591,...,1376,264,...,...,...,...,1124815,...,...,...,...,...,...,238,...,...,...,...,...,...,...,...,1142015
Hospitals,...,...,...,...,...,...,1258,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1262,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1588,...,2695,6793,...,...,...,...,8356,964745,...,...,...,...,...,2943,...,...,...,...,...,...,...,...,989640
Nursing and residential care facilities,...,...,...,...,...,...,43,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,117,...,...,35,24,...,...,...,...,1135,...,260343,136,...,...,...,375,...,...,...,...,...,...,...,...,262226
Social assistance,...,...,...,...,...,...,158,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,113,238,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,101,16,...,...,...,...,334,...,2663,227937,...,...,...,...,...,...,...,...,...,...,...,...,231559
"Performing arts, spectator sports, museums, and related activities",...,...,...,...,...,...,590,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1673,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,983,1475,...,89,9361,...,...,...,20,...,...,...,...,185017,3381,9,4611,424,...,...,...,...,...,...,...,207634
"Amusements, gambling, and recreation industries",...,...,...,...,...,...,547,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,611,...,...,2667,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,176,388,...,86,192,...,...,...,1294,...,...,...,907,254,142699,501,16129,1282,...,...,...,...,...,...,...,167734
Accommodation,...,...,...,...,...,...,1795,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,440,521,924,...,...,...,...,...,...,...,...,...,...,278,...,...,...,...,...,...,1241,1506,...,43,2,...,0,...,...,...,...,...,...,1696,32775,202396,49729,2001,...,...,...,...,...,...,...,295368
Food services and drinking places,...,...,...,...,...,...,816,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,920,...,1991,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,1352,192,892383,...,...,...,...,...,...,192,...,897845
"Other services, except government",...,...,...,...,...,...,481,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,592,2293,...,186,3996,...,...,...,...,...,...,...,...,...,...,...,404,...,...,...,...,...,1552,282,...,934,1472,...,...,...,32,...,...,...,379,...,...,...,4085,740975,...,...,...,...,...,...,...,757665
Federal general government (defense),...,...,...,...,...,...,4,...,...,...,...,3,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44,...,15,...,...,...,...,...,...,...,...,2606,24546,...,...,...,246,...,1563,...,...,22,...,...,...,...,676530,...,...,...,...,...,...,705579
Federal general government (nondefense),...,83,...,...,...,42,354,...,...,0,...,...,...,...,...,...,...,49,...,...,...,...,7,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,145,...,...,...,...,...,...,65,...,...,...,...,2799,17853,...,...,...,...,...,1079,...,...,...,...,...,...,...,...,420762,361,...,...,...,4304,447908
Federal government enterprises,...,...,...,...,...,13967,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3311,37,...,...,...,...,...,...,...,...,...,19,...,...,...,...,1515,...,...,867,...,...,653,...,...,...,...,...,...,...,...,...,...,...,...,1546,0,...,...,69244,...,...,...,...,91159
State and local general government,585,3413,...,672,...,1252,22425,220,...,...,...,...,...,...,...,...,...,1239,2263,...,1336,659,1753,...,110,...,...,...,...,...,...,...,...,...,...,...,...,...,...,563,1,...,2408,...,...,...,30430,...,...,...,...,5357,57998,...,9510,14981,102084,37664,228948,...,3824,3395,2912,10896,20073,1234,...,...,...,1897764,...,4289,...,2470257
State and local government enterprises,...,...,...,...,...,145791,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5497,...,...,...,170,414,...,17562,...,14563,...,...,...,...,...,29,...,-506,...,8174,30140,...,...,...,...,...,...,...,...,...,...,...,...,206,36159,...,...,3320,...,...,...,...,110188,...,...,371706
Total Commodity Output,391506,63872,303601,91752,137910,656205,1787197,115153,133474,238413,370961,400321,323975,131391,765998,340227,79969,157384,979927,47349,20901,188039,76478,588406,815124,244305,2068377,248927,226417,231632,1078538,249541,82987,53743,382394,124870,61168,282259,148659,303785,162081,760246,309978,934043,672742,1281591,197863,2328521,1446362,517377,377240,585516,2297295,650795,1042030,129419,419889,1174503,1196334,263006,233243,192316,222667,242358,1056671,939469,676530,420762,69605,1897764,112312,9013,4304,37816985
